node,fillcolor,bordercolor,shape,width
TCGA-A6-2672,green,black,circle,label
TCGA-A6-2676,green,black,circle,label
TCGA-AA-3516,green,black,circle,label
TCGA-AA-3518,green,black,circle,label
TCGA-AA-3525,green,black,circle,label
TCGA-AA-3543,green,black,circle,label
TCGA-AA-3664,green,black,circle,label
TCGA-AA-3672,green,black,circle,label
TCGA-AA-3710,green,black,circle,label
TCGA-AA-3715,green,black,circle,label
TCGA-AA-3821,green,black,circle,label
TCGA-AA-3833,green,black,circle,label
TCGA-AA-3837,green,black,circle,label
TCGA-AA-3845,green,black,circle,label
TCGA-AA-3870,green,black,circle,label
TCGA-AA-3877,green,black,circle,label
TCGA-AA-3941,green,black,circle,label
TCGA-AA-3947,green,black,circle,label
TCGA-AA-3949,green,black,circle,label
TCGA-AA-3994,green,black,circle,label
TCGA-AA-A00A,green,black,circle,label
TCGA-AA-A00D,green,black,circle,label
TCGA-AA-A00E,green,black,circle,label
TCGA-AA-A00J,green,black,circle,label
TCGA-AA-A01P,green,black,circle,label
TCGA-AA-A022,green,black,circle,label
TCGA-AA-A029,green,black,circle,label
TCGA-AA-A02O,green,black,circle,label
TCGA-AA-A03F,green,black,circle,label
TCGA-AG-3575,green,black,circle,label
TCGA-AG-3600,green,black,circle,label
TCGA-AG-A02X,green,black,circle,label
BRAF,yellow,black,rectangle,label
GRB14,yellow,black,rectangle,label
MBD4,yellow,black,rectangle,label
MSH6,yellow,black,rectangle,label
PRDM2,yellow,black,rectangle,label
HMMR,yellow,black,rectangle,label
SEC63,yellow,black,rectangle,label
KRAS,yellow,black,rectangle,label
PIK3CA,yellow,black,rectangle,label
RAD50,yellow,black,rectangle,label
ACVR2A,yellow,black,rectangle,label
CASP5,yellow,black,rectangle,label
MSH3,yellow,black,rectangle,label
ATR,yellow,black,rectangle,label
TGFBR2,yellow,black,rectangle,label
AIM2,yellow,black,rectangle,label
TCF7L2,yellow,black,rectangle,label
