Number CIMP- (<=),Number CIMP+ (>=),Total # of Features,TP,FP,TN,FN
20,3,2165,32,192,0,0
20,4,1042,32,192,0,0
20,5,498,32,192,0,0
20,6,253,32,190,2,0
20,7,123,32,180,12,0
20,8,58,30,155,37,2
20,9,30,29,110,82,3
20,10,14,29,75,117,3
20,11,9,26,57,135,6
20,12,5,26,38,154,6
20,13,3,23,20,172,9
20,14,2,20,13,179,12
20,15,2,20,13,179,12
20,16,1,16,5,187,16
20,17,0,0,0,192,32
20,18,0,0,0,192,32
20,19,0,0,0,192,32
20,20,0,0,0,192,32
19,3,2162,32,192,0,0
19,4,1039,32,192,0,0
19,5,495,32,192,0,0
19,6,250,32,190,2,0
19,7,122,32,180,12,0
19,8,57,30,154,38,2
19,9,29,29,108,84,3
19,10,13,28,69,123,4
19,11,9,26,57,135,6
19,12,5,26,38,154,6
19,13,3,23,20,172,9
19,14,2,20,13,179,12
19,15,2,20,13,179,12
19,16,1,16,5,187,16
19,17,0,0,0,192,32
19,18,0,0,0,192,32
19,19,0,0,0,192,32
19,20,0,0,0,192,32
18,3,2153,32,192,0,0
18,4,1030,32,192,0,0
18,5,487,32,192,0,0
18,6,244,32,188,4,0
18,7,117,32,175,17,0
18,8,54,30,147,45,2
18,9,28,29,103,89,3
18,10,12,27,64,128,5
18,11,8,24,51,141,8
18,12,4,24,29,163,8
18,13,3,23,20,172,9
18,14,2,20,13,179,12
18,15,2,20,13,179,12
18,16,1,16,5,187,16
18,17,0,0,0,192,32
18,18,0,0,0,192,32
18,19,0,0,0,192,32
18,20,0,0,0,192,32
17,3,2134,32,192,0,0
17,4,1015,32,192,0,0
17,5,475,32,192,0,0
17,6,236,32,188,4,0
17,7,111,32,171,21,0
17,8,50,30,135,57,2
17,9,25,29,89,103,3
17,10,11,27,57,135,5
17,11,7,24,43,149,8
17,12,4,24,29,163,8
17,13,3,23,20,172,9
17,14,2,20,13,179,12
17,15,2,20,13,179,12
17,16,1,16,5,187,16
17,17,0,0,0,192,32
17,18,0,0,0,192,32
17,19,0,0,0,192,32
17,20,0,0,0,192,32
16,3,2122,32,192,0,0
16,4,1005,32,192,0,0
16,5,467,32,192,0,0
16,6,233,32,187,5,0
16,7,109,32,169,23,0
16,8,48,30,128,64,2
16,9,23,29,79,113,3
16,10,11,27,57,135,5
16,11,7,24,43,149,8
16,12,4,24,29,163,8
16,13,3,23,20,172,9
16,14,2,20,13,179,12
16,15,2,20,13,179,12
16,16,1,16,5,187,16
16,17,0,0,0,192,32
16,18,0,0,0,192,32
16,19,0,0,0,192,32
16,20,0,0,0,192,32
15,3,2104,32,192,0,0
15,4,988,32,192,0,0
15,5,456,32,192,0,0
15,6,223,32,185,7,0
15,7,101,32,162,30,0
15,8,43,30,112,80,2
15,9,22,29,72,120,3
15,10,11,27,57,135,5
15,11,7,24,43,149,8
15,12,4,24,29,163,8
15,13,3,23,20,172,9
15,14,2,20,13,179,12
15,15,2,20,13,179,12
15,16,1,16,5,187,16
15,17,0,0,0,192,32
15,18,0,0,0,192,32
15,19,0,0,0,192,32
15,20,0,0,0,192,32
14,3,2082,32,192,0,0
14,4,968,32,192,0,0
14,5,442,32,192,0,0
14,6,214,32,184,8,0
14,7,95,32,158,34,0
14,8,39,29,101,91,3
14,9,19,28,60,132,4
14,10,10,26,52,140,6
14,11,7,24,43,149,8
14,12,4,24,29,163,8
14,13,3,23,20,172,9
14,14,2,20,13,179,12
14,15,2,20,13,179,12
14,16,1,16,5,187,16
14,17,0,0,0,192,32
14,18,0,0,0,192,32
14,19,0,0,0,192,32
14,20,0,0,0,192,32
13,3,2058,32,192,0,0
13,4,948,32,192,0,0
13,5,425,32,190,2,0
13,6,205,32,183,9,0
13,7,91,32,155,37,0
13,8,39,29,101,91,3
13,9,19,28,60,132,4
13,10,10,26,52,140,6
13,11,7,24,43,149,8
13,12,4,24,29,163,8
13,13,3,23,20,172,9
13,14,2,20,13,179,12
13,15,2,20,13,179,12
13,16,1,16,5,187,16
13,17,0,0,0,192,32
13,18,0,0,0,192,32
13,19,0,0,0,192,32
13,20,0,0,0,192,32
12,3,2020,32,192,0,0
12,4,920,32,192,0,0
12,5,405,32,190,2,0
12,6,191,32,180,12,0
12,7,81,32,139,53,0
12,8,33,29,84,108,3
12,9,18,28,55,137,4
12,10,9,26,46,146,6
12,11,6,23,36,156,9
12,12,3,23,20,172,9
12,13,3,23,20,172,9
12,14,2,20,13,179,12
12,15,2,20,13,179,12
12,16,1,16,5,187,16
12,17,0,0,0,192,32
12,18,0,0,0,192,32
12,19,0,0,0,192,32
