Number CIMP-,Number CIMP+,Total # of Features,TP,FP,TN,FN
20,2,70,30,42,150,2
20,3,18,28,27,165,4
20,4,15,28,25,167,4
20,5,13,28,24,168,4
20,6,11,28,24,168,4
20,8,5,19,12,180,13
20,10,2,13,8,184,19
19,2,70,30,42,150,2
19,3,18,28,27,165,4
19,4,15,28,25,167,4
19,5,13,28,24,168,4
19,6,11,28,24,168,4
19,8,5,19,12,180,13
19,10,2,13,8,184,19
18,2,70,30,42,150,2
18,3,18,28,27,165,4
18,4,15,28,25,167,4
18,5,13,28,24,168,4
18,6,11,28,24,168,4
18,8,5,19,12,180,13
18,10,2,13,8,184,19
17,2,70,30,42,150,2
17,3,18,28,27,165,4
17,4,15,28,25,167,4
17,5,13,28,24,168,4
17,6,11,28,24,168,4
17,8,5,19,12,180,13
17,10,2,13,8,184,19
16,2,70,30,42,150,2
16,3,18,28,27,165,4
16,4,15,28,25,167,4
16,5,13,28,24,168,4
16,6,11,28,24,168,4
16,8,5,19,12,180,13
16,10,2,13,8,184,19
15,2,70,30,42,150,2
15,3,18,28,27,165,4
15,4,15,28,25,167,4
15,5,13,28,24,168,4
15,6,11,28,24,168,4
15,8,5,19,12,180,13
15,10,2,13,8,184,19
14,2,70,30,42,150,2
14,3,18,28,27,165,4
14,4,15,28,25,167,4
14,5,13,28,24,168,4
14,6,11,28,24,168,4
14,8,5,19,12,180,13
14,10,2,13,8,184,19
13,2,70,30,42,150,2
13,3,18,28,27,165,4
13,4,15,28,25,167,4
13,5,13,28,24,168,4
13,6,11,28,24,168,4
13,8,5,19,12,180,13
13,10,2,13,8,184,19
12,2,70,30,42,150,2
12,3,18,28,27,165,4
12,4,15,28,25,167,4
12,5,13,28,24,168,4
12,6,11,28,24,168,4
12,8,5,19,12,180,13
12,10,2,13,8,184,19
11,2,69,29,34,158,3
11,3,17,23,17,175,9
11,4,14,23,14,178,9
11,5,12,23,13,179,9
11,6,10,23,13,179,9
11,8,5,19,12,180,13
11,10,2,13,8,184,19
10,2,69,29,34,158,3
10,3,17,23,17,175,9
10,4,14,23,14,178,9
10,5,12,23,13,179,9
10,6,10,23,13,179,9
10,8,5,19,12,180,13
10,10,2,13,8,184,19
9,2,68,28,27,165,4
9,3,17,23,17,175,9
9,4,14,23,14,178,9
9,5,12,23,13,179,9
9,6,10,23,13,179,9
9,8,5,19,12,180,13
9,10,2,13,8,184,19
8,2,68,28,27,165,4
8,3,17,23,17,175,9
8,4,14,23,14,178,9
8,5,12,23,13,179,9
8,6,10,23,13,179,9
8,8,5,19,12,180,13
8,10,2,13,8,184,19
7,2,68,28,27,165,4
7,3,17,23,17,175,9
7,4,14,23,14,178,9
7,5,12,23,13,179,9
7,6,10,23,13,179,9
7,8,5,19,12,180,13
7,10,2,13,8,184,19
6,2,68,28,27,165,4
6,3,17,23,17,175,9
6,4,14,23,14,178,9
6,5,12,23,13,179,9
6,6,10,23,13,179,9
6,8,5,19,12,180,13
6,10,2,13,8,184,19
5,2,66,27,21,171,5
5,3,16,23,17,175,9
5,4,13,23,14,178,9
5,5,11,23,12,180,9
5,6,9,22,12,180,10
5,8,4,18,11,181,14
5,10,1,12,5,187,20
4,2,65,27,20,172,5
4,3,15,23,16,176,9
4,4,12,23,13,179,9
4,5,10,23,10,182,9
4,6,8,22,10,182,10
4,8,3,16,7,185,16
4,10,0,0,0,192,32
3,2,62,27,16,176,5
3,3,12,23,12,180,9
3,4,10,23,10,182,9
3,5,9,23,10,182,9
3,6,7,22,10,182,10
3,8,3,16,7,185,16
3,10,0,0,0,192,32
2,2,58,25,11,181,7
2,3,9,21,6,186,11
2,4,7,21,4,188,11
2,5,6,19,4,188,13
2,6,4,17,4,188,15
2,8,0,0,0,192,32
2,10,0,0,0,192,32
1,2,55,25,7,185,7
1,3,7,19,4,188,13
1,4,6,19,4,188,13
1,5,5,17,4,188,15
1,6,3,15,3,189,17
1,8,0,0,0,192,32
1,10,0,0,0,192,32
0,2,42,20,0,192,12
